representative_index	expression	derived_value	status	reason	assumptions
40	10000	10000	PASS	Game total 30+28+32+34+26=150, mean 30; inclusive threshold selects 10000 rather than 8000.	Stated five games define this week's average.
41	((54-48)-12*(1/3))/(1/12)/12	2	UNRESOLVED	Rumor-based arithmetic yields two hours/month and 54 inches after a year; causal growth effect is only a rumor in the prompt. Unconditional real outcome is not established.	Explicitly conditional on the rumored effect; no medical or real-world growth claim accepted.
42	(32-(4*2+2*1)-4*3-2*1)/2	4	PASS	Fixed walks consume 24 hours; remaining eight support four two-hour poodle walks.	All available walking hours are assigned to listed walks.
43	(200/2)/(1+3)	25	PASS	Biology has 100 students in four ratio-parts; 25 boys and 75 girls.	Stated two groups exhaust class.
44	(64+76+91+80+89)/5	80	PASS	Five rates sum to 400; arithmetic mean is 80.	Average per employee, not simultaneous team throughput 400.
47	(20+10)+2*(20+7)+3*(20+9)	171	PASS	Dog-group charges 30,54,87 total 171.	Base fee and minute fee charged for each dog.
48	60*(4+9)	780	PASS	Thirteen driving hours at 60 mph gives 780 miles; break adds no distance.	Constant driving rate and stationary break.
49	3*72/8	27	PASS	216 one-eighth pizza pieces equal 27 pizzas.	Eight pieces per pie.
50	2000-(2000*30/100)*(1+2)	200	PASS	600 men plus 1200 women leaves 200 children.	Groups partition total participants.
54	3*8+2*9+10*5	92	PASS	Income components 24,18,50 total 92.	Planned earnings equal shoe cost as stated.
55	5*2**3/10	4	PASS	Repeated halving gives eight pieces per sheet, forty sheets, four days at ten notes/day.	Each fold halves all layers; all forty pieces make this notepad; one note per small sheet.
56	1/2+8/12-2/12+2*(1/2)	2	PASS	Use inches: 6+8-2+12=24 inches, or two feet.	Two inches melts in total over two days, not two inches per day.
57	(22-6)*(1+1/2)	24	PASS	16 remain, buy eight, finish with 24.	Purchase is half the remainder, not half initial stock.
58	1500/(12/100)	12500	PASS	One-year interest 1500 at 12 percent implies principal 12500; product check reproduces interest.	Stated annual simple/effective one-year rate without intrayear compounding assumptions.
59	1200/(3*40)	10	PASS	Pam's capacity 120 apples/bag; ten bags hold 1200.	Bags have stated common capacity.
61	(30+20+10)*(1-1/3)*(1-1/2)	20	PASS	60 picked,20 rotten,40 fresh,20 kept,20 sold.	Half refers to fresh berries.
64	800*(1-70/100)+400*(1-3/5)	400	PASS	First batch retains 240 and second batch retains 160, total 400.	Second deletion applies only to the newly downloaded 400.
68	2*20-(25*7*(1/10)+7*(3/2))	12	PASS	Printing 17.50 plus pens 10.50 costs 28; payment 40 gives 12 change.	No additional tax or fee stated.
78	140-(80+10)*(1+10/100)	41	PASS	Subtotal 90, tax 9, pre-gratuity total 99; gratuity 41 reconstructs 140.	Only listed food/wine costs; gratuity added after tax.
83	14*450+5*120+200	7100	PASS	Credits 6300, textbooks 600, fee 200 sum to 7100.	One stated facilities fee.
85	21*(1-1/3)	14	PASS	Birds jointly eat seven, leaving fourteen; seven plus fourteen restores 21.	One-third is collective bird consumption, not each bird consuming a third.
88	2+2*4+3*3+2*(1/2)	20	PASS	Initial two plus rainfall 8,9,1 equals 20 inches.	Only specified rainfall intervals contribute and no gauge loss/overflow.
90	2000+2000/2+(2000/2-400)	3600	PASS	Problem-internal NY 2000, CA 1000, TX 600 sum to 3600.	Treat stated case counts as exercise givens, not verified real historical epidemiology.
94	(20+40)*5	300	PASS	Wade contributes 100 and teammates collectively contribute 200; sum 300.	Teammates' 40 is collective, not per teammate; averages apply to the five-game modeled interval.
98	10*12*(1-40/100)*(1-1/4)	54	PASS	120 initially,48 sold first day,18 second,54 left; conservation 48+18+54=120.	Today's fraction uses yesterday's remainder.
101	8*(15/2)*20*2	2400	PASS	Daily earnings 60, monthly 1200, two months 2400.	Twenty working days each month at stated wage/hours.
104	150+250*12+3000*(1-90/100)	3450	PASS	Adoption 150 plus training 3000 plus uncovered certification 300 gives 3450.	Insurance applies only to certification; inconsistent pronouns do not introduce a second owner.
105	(60-8*7)+(60-6*7)	22	PASS	Four pens plus eighteen pencils remain, total 22.	Equal initial counts means 60 of each.
120	30-30*(2/5)-(30-30*(2/5))*(1/3)	12	PASS	Lemon 12, remaining 18, mango six, orange twelve. Gold six is the mango group. 12+6+12=30; orange six would leave six members unassigned.	No relabeling or benchmark rescore; report mathematical discrepancy against preserved gold 6.
127	(220+110)/110	3	PASS	Opposite sides of Red Deer require 330 km, three hours at 110 km/h.	Collinear route through Red Deer and constant speed, standard problem model.
133	30*(1+20/100)*(1-50/100)	18	PASS	Madison 36 inches, Ryan half that,18.	Percentages use their specified reference person.
137	5*7+6*6+(6/2)*3+7*5	115	PASS	Segments 35,36,9,35 sum to115; second day totals45.	No travel during overnight rests; trip distance is shared route, not summed person-miles.
