index	semantic_code	evidence_quote	note
47	A+C	Confirm the final sum matches the problem's requirements.	Impersonal dog-pricing chain; generic verification instructions are not a concrete check.
48	P	The break duration was not included in the distance calculation	Owned segmented speed/time calculation with specific exclusion and unit check.
49	P	216 pieces divided by 8	Owned piece-to-pizza conversion and specific numerical recheck.
50	P	This confirms the solution is correct.	Owned percentage partition; explicit 600+1200+200=2000 recombination; token excess separate.
51	P	I verified that the total number of students	Owned ratio equation and concrete total-population check.
52	A+C	Finally, calculate the number of students in the canteen:	Impersonal forward population partition without a check.
53	W	I checked that the operations were correctly applied	Owned earnings reasoning, but purported check is generic correctness assertion.
54	P	I would recompute the sum of the individual earnings	Owned source-specific earnings; proposes concrete recomputation of the displayed three earnings against shoe cost.
55	A+C	Divide the total number of note papers	Impersonal fold-count/rate division without a check; short length separate.
56	P	I expected these operations to give the total amount of snow in feet	Owned conversions and explicit feet-valued expectation; decimal intermediates are rounded, not exact equalities.
57	W	ensuring each was correctly applied	Owned soda transactions but purported verification is generic.
58	A+C	We need to find the original borrowed amount	First-person goal statement alone is not owned operation; equation solves rather than checks.
59	P	Finally, I check the result:	Owned bag-capacity conversion with multiplication back to 1200 apples.
60	A	Jenny's wins against Mark:	Specific wins checklist and recheck without first-person ownership.
61	A	Berries that can be sold:	Specific stock/rotten/kept partition and recheck without first-person ownership.
62	A+C	Calculations:	Impersonal nested-animal forward calculation without check; short length separate.
63	R	Subtracting the number of crayons given to Lea from the number of crayons given to Mae	Reusable rule reverses subtraction (5-12 instead of 12-5); previous reusable bullet also subtracts Mae again instead of 15 remaining. Worked final 7 is correct, reusable reasoning is false.
64	P	I expected this to give the number of valuable files from the first round.	Owned batch-specific complement operations and explicit outcome meanings; generic closing check is not sole basis.
65	A	If Pam has 10 bags and each bag has 120 apples	Concrete inverse check but impersonal throughout.
66	C	To find the average, I need to sum	Owned mean operation but no check; short length separate.
67	A+C	Jimmy has 7 hours to sell pizzas	Impersonal time/flour forward calculation without check.
68	C	I calculate the change she should receive:	Owned costs/payment chain with no result check.
69	I	Hanging upside down makes him grow	Owned arithmetic and specific check, but treats rumor as established causal fact rather than conditional premise.
70	A	Verify the time required:	Concrete savings/time recheck but no owned reasoning.
71	A+C	Let's denote the number of apples and oranges	Variable naming alone is not substantive ownership; no result verification.
72	A	Sum all earnings to find the total cost	Concrete itemized earnings/checks but no first-person ownership.
73	P	the total sum of scores should be	Owned mean inversion states concrete required-total expectation 470 before finding residual; satisfies expectation route without separate check heading.
74	C	Since the average is exactly 30 points per game	Owned mean computation but only forward threshold application, no result verification or independently stated expectation.
75	P	To check the result, I verify each step:	Owned remaining-cake and frosting operations with numerical recheck.
76	P	verify that the sum of the deviations from the mean (80 WPM) is zero	Owned mean with concrete falsifiable zero-deviation check, which need not have been executed externally.
77	C	To find out how long it will take her to save $150:	Owned saving calculation but no check; short length separate.
78	A	Subtract the total before gratuity	Impersonal subtotal/tax/gratuity operation chain and check.
79	A	The break duration is not relevant	Specific distance and excluded-break reasoning but no ownership.
80	A+C+I	One professional is paid $15 per hour.	Only first-person goal language, no check, and second worker wage assumed equal without qualification.
81	A	Explanation:	Specific soda operations but no first-person ownership.
82	P	I checked if the total number of sandwiches made matches the given total:	Owned office/group inversion with numerical sandwich-total check.
83	P	The final check is to ensure that the total cost matches the sum of the individual components.	Owned credit/textbook/fixed-fee decomposition with concrete proposed recombination check using displayed amounts.
84	P	The calculation is correct as the sum of points is 150 and divided by 5 games equals 30.	Owned mean and threshold operations with specific numerical and boundary check.
85	A	Verify the calculation by adding the eaten tomatoes back	Concrete inverse stock check but no owned reasoning.
86	C	Now, let's calculate the total snow step by step:	Substantive plural agency accepted; forward conversions only, no check. Rounded intermediates explicitly approximate.
87	C	I add the valuable files from both rounds:	Owned batch complement arithmetic without a result check or explicit expectation.
88	P	the sum of the individual rainfalls plus the initial amount matched the final total	Owned segmented rainfall and initial-level accounting with concrete recombination check.
89	A	Sum of students in the classroom and canteen	Concrete population recombination without ownership.
90	P	To verify the result, I checked each step:	Owned problem-internal case-count relationships and numerical recheck; not an independent historical verification.
91	C	Then, I calculate the number of fresh berries to be kept:	Owned berries partition but no check.
92	A+C	The store has 2000 items	Impersonal forward sale/debt solution without check.
93	P	I checked this by confirming that 14 is indeed the remainder	Owned fractional outflow and specific arithmetic self-check; no external feedback claimed.
94	P	The final value of 300 passed the exact-answer checker, confirming the solution.	Owned scoring operations with concrete expected meanings. Semantic richness passes in generation context; separate neutral-prefix axis fails external checker-event assertion.
95	A+C	Initially, Tim has 22 cans of soda.	Impersonal forward stock adjustment without check; short length separate.
96	A	Time spent on Tuesday:	Concrete schedule recombination but no owned reasoning.
97	A	Confirm the addition:	Concrete cost recheck but no owned reasoning.
98	A+C	After selling 18 watermelons today	Impersonal sequential sales solution without check.
99	A	The operations are reusable for any similar problem	Specific scoring-rate operations but no first-person ownership.
100	W	I checked that the operations were correctly applied	Owned discounted-sale chain, but generic verification assertion.
101	A+C	Finally, calculate her total earnings for two months:	Impersonal wage/time calculation without check.
102	A	Total earnings for two months:	Specific wage/time recheck but no first-person ownership.
103	A+C	First, convert the travel time to hours:	Impersonal distance calculation without verification; short length separate.
104	C	Now, let's calculate the total cost for each part	Substantive plural agency accepted, but forward out-of-pocket calculation only.
105	A+C	Add the remaining pens and pencils	Impersonal stock/outflow calculation without check.
106	W	I verified that the calculations were consistent with the given data	Owned wage/time chain; verification is generic without concrete equality or expectation.
107	P	The break duration does not affect the distance traveled	Owned segmented distance with concrete exclusion of stationary time, matching row 48's accepted check.
108	P	the sum of the individual walk totals matched the overall total	Owned fixed/variable dog charges with concrete total recombination; token excess separate.
109	P	The total time matches the sum of the individual times calculated for each group	Owned care-group rates with concrete category-total recombination.
110	A	After Mother's reduction:	Specific sequential temperature operations/checklist without ownership.
111	A	Change: $12.00 (correct)	Specific cost/change checklist without ownership.
112	A	Total snow = 0.5 + 2/3 - 1/6 + 1 = 2 feet	Concrete exact snowfall check but no owned reasoning.
113	A	Sum: $150 + $3000 + $300 = $3450	Concrete cost recheck but no owned reasoning.
114	P	multiplying the number of Pam's bags by the number of apples in each bag:	Owned bag-capacity inversion with multiplication-back check.
115	P	the total number of watermelons sold (48 + 18) plus the remaining 54 equals the original 120	Owned sequential fractions with conservation check.
116	A	Verify the total distance:	Concrete unit/time/distance rechecks but no owned reasoning.
117	A	Total remaining: 4 pens + 18 pencils = 22.	Concrete item-stock checklist but no owned reasoning.
118	A+C	Net filling rate = Filling rate - Leaking rate	Impersonal net-rate forward computation without check; short length separate.
119	A	Sum the initial amount and the rainwater collected:	Concrete segmented-rainfall and initial-level check but no owned reasoning.
120	C	30 - 12 - 6 = 12	Owned correct juice partition, no check. Gold 6 is mango count, not orange count; preserve discrepancy, do not rescore.
121	A	New balance: $100.00 + $20.00 = $120.00	Concrete debt/interest recheck but no owned reasoning.
122	I	the hourly rate for one professional ($15)	Owned cost chain fails to distinguish the missing second wage from the given first wage; equal-rate cost is asserted unconditionally.
123	A	Verify the net filling rate:	Concrete net-rate/time recheck without owned reasoning.
124	P	I substituted P = 12500 back into the original formula:	Owned principal inversion with substitution reproducing 1500 interest.
125	W	the final number of berries to be sold matches the problem statement	Owned berry partition but verification merely asserts correctness.
126	P	84 + 63 = 147	Owned equal-count fruit model with combined weight checked against three full bag capacities.
127	W	the result was a whole number, which is reasonable for a travel time in hours	Owned distance/time inversion; integer-valued time is not a necessary check, and unit-consistency assertion is underspecified.
128	A+C	We need to find how many times	Only first-person goal language; impersonal volume division without check.
129	C	Finally, I sum up the totals for all walks:	Owned fixed/variable dog charges but no result check.
130	A	Verify the total:	Concrete community-partition check without owned reasoning.
131	P	I checked if 20% of $280 indeed equals $56.	Owned inverse percentage and new percentage with specific arithmetic recheck.
132	P	To verify, I checked the calculations:	Owned wins/fraction chain and concrete numerical rechecks.
133	A	Ryan's distance:	Specific sequential percentages and check but no first-person ownership.
134	A+C	Adding all the rain to the initial 2 inches	Impersonal segmented rainfall calculation without check.
135	W	140 = 99 + G	Owned subtotal/gratuity equation offers a checkable total constraint but uses it to solve, not verify; same boundary as row 2.
136	A+C	Sister increases by 24 degrees:	Impersonal forward temperature calculation without check; short length separate.
137	W	I checked the result by ensuring that all given speeds and times were used correctly	Owned segment computations; generic verification. Target itself ends mid-sentence, has no FINAL line, and exceeds token contract; those are separate flags.
138	C	we use the formula:	Substantive plural agency accepted; correct mixture fraction but no check.
139	A	The operations are correctly applied	Specific state-count checklist without first-person ownership.
140	A	Half of the group: 6 people	Concrete group-order inverse check but no owned reasoning; token excess separate.
141	A	Sum: 35 + 36 + 9 + 35 = 115	Specific segment rechecks without owned reasoning.
142	A	Ensure the total distance is the sum of individual distances.	Specific proposed distance recombination but no owned reasoning.
143	P	The number of cans of frosting needed is correct because	Owned cake/frosting chain and numerical rechecks.
144	P	I checked this by ensuring that the interest calculation was based on the correct remaining balance	Owned payment-then-interest reasoning with specific interest-base and recombination checks.
145	A	We need to find out how many whole pizzas	First-person goal language only, not owned operations; otherwise specific unit conversion and recheck.
146	A+C	First, calculate the distance traveled each day	Impersonal segmented distance calculation without result verification.
147	A+C	Add Wade's and teammates' total points:	Impersonal scoring-rate calculation without check; short length separate.
148	C	Finally, I add the facilities fee of $200.	Owned component-cost calculation but no check; short length separate.
149	C+I	Hanging upside down makes him grow	Plural agency in monthly conversion accepted, but no check and rumor upgraded to unqualified causal fact.
150	W	I can set up the equation:	Owned inverse-tip equation is checkable constraint but used to solve, not verify; same boundary as rows 2 and 135.
151	A	Total valuable files:	Specific batch-complement recheck without owned reasoning.
152	P	the total hours worked each day were accurately reflected in the daily earnings	Owned regular/overtime decomposition with specific hours/rates partition check.
153	A+C	First, calculate the number of students in the Biology class:	Impersonal ratio equation with no result check.
154	A	Check the division:	Specific folded-paper and daily-use check without owned reasoning; assumes ordinary repeated halving.
155	P	To verify the result, I rechecked the calculations:	Owned nested animal counts with numerical recheck.
156	W	I verified this by ensuring the multiplication was correct and that the division was accurate.	Owned fraction/recipient arithmetic, but generic verification statement without a concrete check or explicit expectation.
157	C	Finally, I find the difference in cost per batch:	Owned cost comparison with no result check despite ample length.
158	A	We need to find how many watermelons	First-person goal language only, not owned operations; specific sequential-sales recheck.
159	C	I subtract the donuts given away from the total:	Owned stock/outflow reasoning but no check.
160	P	2 pizzas * 0.5kg/pizza = 1kg	Owned time/flour calculation with multiplication back to leftover flour.
161	P	To verify the result, I checked the arithmetic:	Owned donut stock/outflow reasoning and numerical recheck.
162	P	5 + 12 + 15 = 32	Owned inverse crayon allocation and conservation check. Being informed of 15 remaining is supported by original question, not an invented checker event.
163	A+C	Now, sum the cases in all three states:	Impersonal problem-internal count relationships without check.
164	P	To find P, we rearrange the formula:	Substantive plural algebraic ownership and substitution reproducing given interest.
165	P	To check the result, I used the original problem statement:	Owned fraction/recipient arithmetic with specific per-student and aggregate re-evaluation.
166	P	I verified that selling 25 eggs at $0.20 each indeed recovers $5:	Owned capital-recovery division with multiplication-back check.
167	A	Total cost over 8 weeks:	Concrete weekly-cost recheck but no owned reasoning.
168	P	40 smaller note papers, with 10 notes written per day, should indeed last for 4 days	Owned fold-count/daily-use reasoning with concrete rate-duration expectation/check.
169	C	we use the formula:	Substantive plural distance addition and time inversion accepted; no result check.
170	P	374 + 96 = 470	Owned required-average inversion with recombination and average check.
171	P	To check this, I re-calculated the costs and the difference:	Owned per-batch cost comparison with numerical recheck.
172	A	Total playtime:	Concrete days/hours recheck without owned reasoning.
173	A	Total weekly earnings:	Concrete overtime decomposition and recheck without owned reasoning.
174	A+C	Next, convert the total pieces into whole pizzas:	Impersonal rate/unit conversion without check.
175	W	The initial quantities and the given away quantities were accurately used	Owned distributed-item arithmetic but generic correctness assertion in place of a concrete check.
176	P	The final total was the sum of the three components.	Owned adoption/training/certification decomposition with specific component recombination check.
177	A	Final total: $72.00 + $5.00 = $77.00	Specific dinner/tip/rush-fee chain and recheck without ownership.
178	C	Now, I determine how long it will take for Mike	Owned savings/time inversion without check.
179	A	Verify the time calculation:	Specific distance/time recheck without ownership.
180	P	the payment ($40.00) minus the total cost ($28.00) equals the change ($12.00)	Owned printing/pen cost and change with explicit numerical checks; token excess separate.
181	P	I checked that 18 inches is indeed 50% shorter than 36 inches	Owned sequential percentages with specific relation check.
182	A+C	Finally, calculate the number of children:	Impersonal population partition without check.
183	A+R	Total earnings in 5 months: 5 months * $30/month = $150	Impersonal record also mislabels savings as earnings: monthly earnings are 60, so five-month earnings are 300, not 150. Time-to-save answer remains 5.
184	A+C	Subtract the eaten tomatoes from the original amount:	Impersonal fractional stock/outflow without check; short length separate.
185	C	Adding all these earnings together gives his total:	Owned income-source calculation without check; short length separate.
186	A	We need to find out how many eggs	First-person goal only, not owned operations; concrete recovery check otherwise.
187	P	90 + 9 + 41 = 140	Owned subtotal/tax/gratuity reasoning with original-total reconstruction.
188	C	I calculate 50% of 36 inches	Owned sequential percentages without check.
189	P	Let's perform these operations step-by-step:	Owned singular/plural operations and numerical relationship rechecks.
