review_id	first_person	prefix_supported	meaningful_revision	other_false_axes	reason
gsm8k-train-6388:B:record	true	true	NA	-	We know and we set up retained in own record; equation and forward22-6+8=24 check are supported by task and own repair.
gsm8k-train-6433:A:repair	false	true	true	-	Successive remaining-stock fractions48 to36 to18 correct24; no first-person voice.
gsm8k-train-6433:A:record	false	true	NA	-	Correct successive take/subtract operations with18 check; impersonal voice.
gsm8k-train-6433:B:repair	true	true	true	-	We need to find frames own plural reasoning; using36 as second fraction base correctly revises24 to18.
gsm8k-train-6433:B:record	false	true	NA	-	Correct48,36,18 stock accounting and explicit check, but impersonal voice.
gsm8k-train-3289:A:repair	true	true	true	-	We need to calculate narrates hierarchical floor-hall-room multiplication;1728+2520=4248 corrects1800 with grounded dimensional operations.
gsm8k-train-3289:A:record	false	true	NA	-	Correct hierarchical products and sum, with checkable wing subtotals; impersonal record.
gsm8k-train-3289:B:repair	false	true	true	-	Correct two multiplicative hierarchies and4248 total replace1800; no first-person voice.
gsm8k-train-3289:B:record	false	true	NA	-	Correct reusable multiply-within-wing and add-across-wings recipe; impersonal voice.
gsm8k-train-4735:A:repair	true	true	true	-	We need, let's calculate, and we multiply narrate correct60+64=124 daily then868 weekly, replacing760.
gsm8k-train-4735:A:record	false	true	NA	-	Grounded daily-to-weekly unit conversion and868 check; impersonal record.
gsm8k-train-4735:B:repair	false	true	true	-	Correct124 daily and868 weekly replace760; no first-person narration.
gsm8k-train-4735:B:record	false	true	NA	-	Correct reusable daily aggregation then week scaling, but impersonal voice.
gsm8k-train-6805:A:repair	false	false	true	-	Correct680+270=950 and19 cashback gives931 replacing842.4. Target mentions checker rejection absent from neutral prefix; no first-person voice.
gsm8k-train-6805:A:record	false	true	NA	-	Correct item-specific discounts then cashback on discounted950; no checker-event assertion in target; impersonal voice.
gsm8k-train-6805:B:repair	false	true	true	-	Correct successive discount bases produce931 rather than842.4; impersonal voice.
gsm8k-train-6805:B:record	false	true	NA	-	Correct operation-specific percentage bases and931 concrete check; impersonal voice.
gsm8k-train-1916:A:repair	false	true	true	-	Correct individual rate-duration earnings105+108+60=273 replace279; no first-person voice.
gsm8k-train-1916:A:record	false	true	NA	-	Explicit reusable multiply-each-rate then sum recipe and273 check; impersonal voice. Final capitalization failure remains separate.
gsm8k-train-1916:B:repair	false	false	true	-	Correct273 computation repairs279, but checker rejection event is absent from neutral student prefix; impersonal voice.
gsm8k-train-1916:B:record	false	true	NA	-	Correct per-family products and total273, no checker-event target claim; impersonal voice.
gsm8k-train-1649:A:repair	false	true	true	-	Correct nested subset500 times0.2 times0.25=25 replaces20; present calculation-correct statement is supported, but impersonal voice.
gsm8k-train-1649:A:record	false	true	NA	-	Correct100 four-leaf subset then25 purple subset and proportion check; impersonal voice.
gsm8k-train-1649:B:repair	false	true	true	-	Correct nested fraction-base computation to25 replaces20; no further correction refers to this computation, not a claimed checker event; impersonal voice.
gsm8k-train-1649:B:record	false	true	NA	-	Correct two-stage subset operations and25 check; no first-person voice.
gsm8k-train-4789:A:repair	true	true	true	-	I calculate and I determine narrate20 pounds,10 burgers,9 invitees; substantive correction of6 and host reservation grounded in question.
gsm8k-train-4789:A:record	true	false	NA	no_false_premises	Own I narrative and final arithmetic are correct, but requested unknown says invitees including himself, contradicting the actual invitees-excluding-host unknown and its own9+1 check. Conservative whole-text prefix rejection, not wrong final.
gsm8k-train-4789:B:repair	true	true	true	-	Let's and we narrate2(x+1)=20, solve9, and check10 times2=20; grounded host-reservation lesson repairs6.
gsm8k-train-4789:B:record	true	true	NA	-	I identify/calculate/determine explicitly explains one host burger,9 additional people, and10 times2=20 check without contradictory unknown.
gsm8k-train-7163:A:repair	true	true	true	-	I identify and I realize narrate correct dependent segment times24 and42, difference18 replacing16, no invented prior calculation detail.
gsm8k-train-7163:A:record	true	true	NA	-	I identify narrates route-total/difference operations; derived segment quantities are supported by own prior repair and verify24,42,18.
gsm8k-train-7163:B:repair	true	false	true	no_false_premises	I need frames correct24,42,18 mathematical revision, but claims initial final-walk-time miscalculation without any prior calculation bytes beyond16. Prefix unsupported; heading-prefixed FINAL fails unchanged oracle separately.
gsm8k-train-7054:A:repair	false	true	true	-	Correct144 baked minus138 sold gives6 rather than30; impersonal voice.
gsm8k-train-7054:A:record	false	true	NA	-	Correct reusable production-minus-total-sales accounting and6 check; impersonal voice.
gsm8k-train-7054:B:repair	false	false	true	no_false_premises	Correct144-138=6 replaces30, but locates prior mistake in final calculation without any old calculation trace; unsupported historical inference and impersonal voice.
gsm8k-train-7054:B:record	false	true	NA	-	Correct144,138,6 check without repeating invented prior-error localization; impersonal voice.
gsm8k-train-441:A:repair	true	true	true	-	Let's denote and our total narrate5+10+15=30 and20percent extra6, correcting30 to36 with explicit sum check.
gsm8k-train-441:A:record	true	false	NA	no_false_premises	Arithmetic36 and own plural reasoning are sound, but my hometown/my school/my sports club invent participant identity not established by neutral prefix about Martin. Conservative autobiographical-prefix rejection.
gsm8k-train-441:B:repair	true	true	true	-	Let's denote narrates correct30 subtotal then6 extras and36 check, meaningfully revising prior30.
gsm8k-train-441:B:record	true	false	NA	no_false_premises	Correct36 calculation, but my hometown/school/sports club changes Martin's biography into the child's unsupported own biography.
gsm8k-train-6263:A:repair	true	false	true	-	Let's break down gives grounded30+90+22=142 revision of82, but explicit checker-event account is absent from neutral prefix. Arithmetic/rubric separate from prefix failure.
gsm8k-train-6263:A:record	false	true	NA	-	Correct first-day production, second-day multiplier, third-day addition and142 check; no event claims in target, but impersonal voice.
gsm8k-train-6263:B:repair	true	true	true	-	I'll identify narrates30,90,22 and142 total with grounded day-based reusable operations, correcting82 without new events.
gsm8k-train-6263:B:record	true	true	NA	-	I'll create a reusable record explains multiply members, triple firstday, and add day totals with concrete142 check; supported by problem and own repair.
gsm8k-train-2376:A:repair	false	false	true	-	Correct doubled syrup1 dollar and total7 replace6.5; explicit checker rejection is not in neutral prefix; no first-person voice.
gsm8k-train-2376:A:record	false	true	NA	-	Correct quantity-times-unit-price recipe and7 check without checker event; impersonal voice.
gsm8k-train-2376:B:repair	false	true	true	-	Correct two syrup servings and7 total revise6.5; no first-person voice.
gsm8k-train-2376:B:record	false	true	NA	-	Correct itemized subtotal7 and reusable unit-price operations, but impersonal voice.
gsm8k-train-6637:A:repair	true	true	true	-	We divide and let's verify narrate inverse20percent capacity40 then40 containers1600, correcting800 with20percent check.
gsm8k-train-6637:A:record	true	true	NA	-	We need frames correct inverse-percentage then container-count scaling;8 is20percent of40 and40 times40=1600 are concrete supported checks.
gsm8k-train-6637:B:repair	true	true	true	-	We need and let's determine narrate correct8/0.2=40 then1600 total, replacing800 with grounded capacity reasoning.
gsm8k-train-6637:B:record	false	true	NA	-	Correct inverse-percentage and count scaling with explicit8-liter backcheck, but impersonal voice.
gsm8k-train-6932:A:repair	true	true	true	-	We calculate and we subtract narrate360 original versus432 new, difference72 instead of36; correctly distinguishes total additional minutes from new hourly rate.
gsm8k-train-6932:A:record	false	true	NA	-	Correct reusable before-after reward comparison and72 check; no first-person voice.
gsm8k-train-6932:B:repair	false	true	true	-	Correct30 to36 rate,432 versus360 totals and72 difference revise36; no first-person narration.
gsm8k-train-6932:B:record	false	true	NA	-	Correct five-step before-after comparison and72 check, but impersonal voice.
